outcome,variable,OR,CILow,CIHigh,p
HADS-A>7,Age,1.0,0.010819273949528446,92.42764391261066,1.0
HADS-A>7,Non-White,3.156862745098039,0.7109370588807344,14.017812500979455,0.1306772439053791
HADS-A>7,Indigenous,11.634146341463415,0.5920381574639638,228.62269836522367,0.1063068149763833
HADS-A>7,Non-Woman Gender,5.888888888888889,0.2685011048020216,129.15780131053646,0.2604177526822884
HADS-A>7,Less than highschool,1.0952380952380953,0.19885066608991916,6.032398627814217,0.916768097054355
HADS-A>7,Unemployed,1.5333333333333334,0.305740138472685,7.689900066298167,0.6033622458395207
HADS-A>7,<$20k Income,11.634146341463415,0.5920381574639638,228.62269836522367,0.1063068149763833
HADS-A>7,Marital status,1.8909090909090909,0.6129676684018777,5.833157888090158,0.2676815823519898
HADS-A>7,Unstable Housing,3.5714285714285716,0.34527054348441893,36.94234067028637,0.2855696770600116
HADS-A>7,Smoker,1.3492063492063493,0.4292830099239778,4.240460793128278,0.6082032106500226
HADS-A>7,Alcohol use - average number of drinks/week,3.5714285714285716,0.34527054348441893,36.94234067028637,0.2855696770600116
HADS-A>7,SUD Hx,3.382978723404255,0.13137018072669499,87.11676409135288,0.4621293999317849
HADS-A>7,Depression Hx,2.659090909090909,0.8361949378528415,8.45588049237183,0.09753648205967544
HADS-A>7,Anxiety Hx,2.2967032967032965,0.7047325409450225,7.484890687769861,0.16775809298950561
HADS-A>7,Health Anxiety,7.2,1.3656187661003343,37.96081401842074,0.01994532151285873
HADS-A>7,COVID Health Anxiety,3.207792207792208,0.9842958629728004,10.454103522587653,0.053145153772371376
HADS-A>7,COVID Wait,1.5333333333333334,0.305740138472685,7.689900066298167,0.6033622458395207
HADS-A>7,COVID Lonely,3.5538461538461537,1.0047136123940115,12.570569692106602,0.04914912016744599
HADS-A>7,Stressors,2.272727272727273,0.7304825715715751,7.0710643309198185,0.15628114898821005
HADS-A>7,Menopause,1.105263157894737,0.31140046047823333,3.9229442574470292,0.8769358706795742
HADS-A>7,Complicated Pregnancy,3.0,0.8435197977869565,10.669577671575988,0.08967381890108357
HADS-A>7,Hx Stroke,0.2,0.009122012476991818,4.384997290991525,0.30694286293017103
HADS-A>7,Hx ACS,1.125,0.3425623549532563,3.6945828451369045,0.8460624014816291
HADS-A>7,Hx CABG/stent,1.8333333333333333,0.44749968136588214,7.510868166100476,0.3995399518305027
HADS-A>7,High cholesterol,0.7142857142857143,0.23355999068040828,2.1844669549194777,0.5552160928094179
HADS-A>7,Diabetes,0.9264705882352942,0.27578105799821506,3.112424606299855,0.9016871121933647
HADS-A>7,Hypertension,0.6140350877192983,0.18541183583936469,2.0335222249624976,0.42471777388894394
HADS-A>7,Obese,1.353846153846154,0.4388703424652497,4.176402984963959,0.5981225841974762
HADS-A>7,eGFR <60,1.4,0.36530993643471854,5.365307111897448,0.6235126694561951
HADS-A>7,LVEF <55,1.4473684210526316,0.33915548530071415,6.176740277111998,0.6174719054669824
HADS-A>7,STEMI,1.6,0.5196976303364087,4.9259412600031895,0.41266871773515024
HADS-A>7,ESSI Low,1.1111111111111112,0.30327545235885645,4.070780841746934,0.8736390249276991
HADS-A>7,HADS-A>7,2597.0,49.590971078241004,136000.7447597501,9.900548034280846e-05
HADS-A>7,HADS-D>7,6.487179487179487,1.5270658645314201,27.55840378358246,0.011288379447233281
HADS-A>7,Quit Smoking,1.1,0.24240689866602716,4.991607114560966,0.901700360169992
HADS-A>7,Less Drinking,2.272727272727273,0.19263651708871246,26.813655760914962,0.514393060379773
HADS-A>7,New Depression,5.0,0.5171480299960933,48.342057882708836,0.16442486903057751
HADS-A>7,New Anxiety,1.0909090909090908,0.141340319804339,8.419979849172272,0.9334920957012326
HADS-A>7,New SUD,0.3469387755102041,0.013474615364526104,8.932834867361208,0.5229871875921097
HADS-A>7,F/U Less Social Support,3.8,1.1592306809079058,12.456537113640428,0.02752936529377614
HADS-A>7,Hospitalized,1.353846153846154,0.4388703424652497,4.176402984963959,0.5981225841974762
HADS-A>7,Cardiac Rehab,0.47619047619047616,0.1046502436657782,2.166811673546677,0.3371845063526373
HADS-A>7,No Intervention,2.4,0.39745157956188226,14.492331383735717,0.339947759555982
HADS-A>7,Low Emotional/Informational Support,2.1,0.5764029386288209,7.650897843253109,0.26068710342126744
HADS-A>7,Low Tangible Support,4.653846153846154,1.2258282148510014,17.668286437917565,0.023874077890884537
HADS-A>7,Low Affectionate Support,3.8333333333333335,0.879298806258342,16.711548269891715,0.07365215742248885
HADS-A>7,Low Positive Social Interaction,1.3725490196078431,0.3863336150458905,4.876331589739284,0.6244197916441083
HADS-A>7,Additional Item Low,3.5714285714285716,0.34527054348441893,36.94234067028637,0.2855696770600116
HADS-A>7,New MACE,5.0,0.5171480299960933,48.342057882708836,0.16442486903057751
HADS-A>7,HADS Anxiety Score?,3.207792207792208,0.9842958629728004,10.454103522587653,0.053145153772371376
HADS-A>7,HADS Depression Score?,4.963636363636364,1.4032776900379167,17.55724196666129,0.012931488299308753
HADS-A>7,SF-12 Low,2.380952380952381,0.7022075084693495,8.073018547921512,0.16376579562679472
HADS-A>7,CAQ High,3.75,1.160071011713762,12.122102748887416,0.027241238078239544
HADS-A>7,Quit smoking 6mo,1.105263157894737,0.2763206976625526,4.420974101951973,0.8874718601258373
HADS-A>7,Less drinking 6mo,1.7142857142857142,0.260893372494704,11.264278130575114,0.5746990105076433
HADS-A>7,New Depression 6mo,5.0,0.5171480299960933,48.342057882708836,0.16442486903057751
HADS-A>7,New Anxiety 6 Mo,1.0952380952380953,0.19885066608991916,6.032398627814217,0.916768097054355
HADS-A>7,New SUD 6mo,0.3469387755102041,0.013474615364526104,8.932834867361208,0.5229871875921097
HADS-A>7,F/U Less Social Support 6mo,2.8205128205128207,0.8365763474812896,9.509344358860337,0.09447807323933823
HADS-A>7,Hospitalized 6mo,0.8571428571428571,0.28213595043453593,2.60404204575656,0.7857018007443166
HADS-A>7,High cholesterol f/u 6mo,0.2631578947368421,0.08027913302686329,0.8626410743518304,0.02752936529377612
HADS-A>7,Diabetes f/u 6mo,1.4,0.36530993643471854,5.365307111897448,0.6235126694561951
HADS-A>7,Hypertension f/u 6mo,1.0793650793650793,0.3212929232007423,3.626064847450372,0.9016871121933647
HADS-A>7,Cardiac Rehab 6mo,0.12396694214876033,0.0239655084519126,0.6412466806848675,0.012776346842407783
HADS-A>7,No Intervention 6mo,1.1111111111111112,0.30327545235885645,4.070780841746934,0.8736390249276991
HADS-A>7,Low Emotional/Informational Support 6mo,1.6071428571428572,0.5023914290415872,5.141226569475366,0.42387490121827565
HADS-A>7,Low Tangible Support 6mo,6.487179487179487,1.5270658645314201,27.55840378358246,0.011288379447233281
HADS-A>7,Low Affectionate Support 6mo,1.8333333333333333,0.44749968136588214,7.510868166100476,0.3995399518305027
HADS-A>7,Low Positive Social Interaction 6mo,1.3571428571428572,0.40349726512880796,4.564682078095152,0.6216892100218316
HADS-A>7,Additional Item Low 6mo,1.1,0.24240689866602716,4.991607114560966,0.901700360169992
HADS-A>7,New MACE 6mo,6.578947368421052,0.7085555675110552,61.08560917599308,0.09752553984452594
HADS-A>7,HADS Anxiety Score?.1,4.963636363636364,1.4032776900379167,17.55724196666129,0.012931488299308753
HADS-A>7,HADS Depression Score?.1,5.88,1.6532988036624343,20.912372236288927,0.006206338628599816
HADS-A>7,SF-12 Low 6mo,1.1666666666666667,0.3840183769803406,3.5443905622797627,0.7857018007443166
HADS-A>7,CAQ High 6mo,3.1481481481481484,0.9910982072270945,9.99985338528385,0.05179469377600059
HADS-A>7,SSS Score?,0.974025974025974,0.316462120204937,2.9979151927025693,0.9634044423111887
HADS-D>7,Age,9.0,0.09737346554575604,831.8487952134964,0.3413880904342418
HADS-D>7,Non-White,3.4444444444444446,0.8121879298650001,14.60769988644899,0.09338715724694027
HADS-D>7,Indigenous,2.8333333333333335,0.3584069862786678,22.398496918628815,0.32350332472162857
HADS-D>7,Non-Woman Gender,2.6923076923076925,0.1566682998330898,46.26667116309778,0.4948926920591523
HADS-D>7,Less than highschool,0.47692307692307695,0.05063960200655395,4.491654995083433,0.5175718747576792
HADS-D>7,Unemployed,2.1818181818181817,0.42058194953819106,11.31843766414453,0.3529766787765407
HADS-D>7,<$20k Income,2.8333333333333335,0.3584069862786678,22.398496918628815,0.32350332472162857
HADS-D>7,Marital status,0.5555555555555556,0.15545984804666732,1.9853484947186564,0.36568550178177683
HADS-D>7,Unstable Housing,2.8333333333333335,0.3584069862786678,22.398496918628815,0.32350332472162857
HADS-D>7,Smoker,0.56,0.14729272036007304,2.1290936798055657,0.39480217722814737
HADS-D>7,Alcohol use - average number of drinks/week,9.545454545454545,0.8990861753805688,101.34256868177407,0.06124191742328597
HADS-D>7,SUD Hx,8.11111111111111,0.3110633505715839,211.50072271741342,0.20834624054685313
HADS-D>7,Depression Hx,2.358974358974359,0.670355892158539,8.301202527481367,0.1812364202311907
HADS-D>7,Anxiety Hx,1.5,0.42328504922436166,5.315566907271961,0.5299097132375821
HADS-D>7,Health Anxiety,4.65,1.1254324655586458,19.212614405313918,0.03373259484190512
HADS-D>7,COVID Health Anxiety,2.6666666666666665,0.7525067541766429,9.449896724039041,0.12863816070345793
HADS-D>7,COVID Wait,1.0333333333333334,0.1759970373608174,6.0670213191639775,0.971036742742351
HADS-D>7,COVID Lonely,3.0,0.8249725954165269,10.909453295786049,0.09533678462271572
HADS-D>7,Stressors,3.125,0.8240617383744494,11.850598741865804,0.09384450463571058
HADS-D>7,Menopause,0.8333333333333334,0.2089454781047054,3.3235677112689124,0.7961596178225886
HADS-D>7,Complicated Pregnancy,2.25,0.6132926325743656,8.254623863243847,0.2214125575406004
HADS-D>7,Hx Stroke,0.47586206896551725,0.021485239461686,10.539547817651972,0.6384469735561653
HADS-D>7,Hx ACS,7.457142857142857,1.8952346273081289,29.341475082069493,0.004042915598409778
HADS-D>7,Hx CABG/stent,2.0,0.46746643813742333,8.556764023397333,0.34997413207049577
HADS-D>7,High cholesterol,0.5555555555555556,0.15545984804666732,1.9853484947186564,0.36568550178177683
HADS-D>7,Diabetes,3.5,0.9447668354788242,12.966162168247038,0.06079768649347906
HADS-D>7,Hypertension,1.25,0.3237792811373659,4.825818361543328,0.7461116451166357
HADS-D>7,Obese,0.6944444444444444,0.19391851628145404,2.486885191096497,0.575306745287869
HADS-D>7,eGFR <60,0.07646176911544228,0.0041906481760751865,1.3951068881517836,0.08269432283147331
HADS-D>7,LVEF <55,4.444444444444445,0.983282210764665,20.08892889905105,0.05261162158095447
HADS-D>7,STEMI,2.0952380952380953,0.5986227806614965,7.3335376092534466,0.24718473581540157
HADS-D>7,ESSI Low,3.75,0.9487826733124977,14.821623956204224,0.059427200516502264
HADS-D>7,HADS-A>7,6.487179487179487,1.5270658645314201,27.55840378358246,0.011288379447233281
HADS-D>7,HADS-D>7,2117.0,40.07763758759386,111825.17907161589,0.00015459209009548977
HADS-D>7,Quit Smoking,0.31868131868131866,0.03548505066013552,2.8619878226792514,0.30720954219080787
HADS-D>7,Less Drinking,1.3076923076923077,0.10905915691653788,15.680106283109527,0.8323701887639513
HADS-D>7,New Depression,0.6153846153846154,0.06268048019359738,6.041725010440392,0.6769714293966207
HADS-D>7,New Anxiety,0.8461538461538461,0.08049896781976934,8.894229960363715,0.8893041959303167
HADS-D>7,New SUD,0.8160919540229885,0.03137743372447378,21.22563888650932,0.9027050881860691
HADS-D>7,F/U Less Social Support,3.6,0.9866648568504781,13.135159228605213,0.05241965765797365
HADS-D>7,Hospitalized,0.14912280701754385,0.029108561794115747,0.7639543214150458,0.022429382189511356
HADS-D>7,Cardiac Rehab,2.48,0.5558060757243207,11.065730060587882,0.23393355133410398
HADS-D>7,No Intervention,1.3333333333333333,0.21550219039530538,8.24946500319426,0.75702319847178
HADS-D>7,Low Emotional/Informational Support,5.0,1.2756439241332687,19.5979454195936,0.020925927297258708
HADS-D>7,Low Tangible Support,15.5,3.4737879732770045,69.16081287867424,0.00032825817064900697
HADS-D>7,Low Affectionate Support,4.65,1.1254324655586458,19.212614405313918,0.03373259484190512
HADS-D>7,Low Positive Social Interaction,3.107142857142857,0.8117329647156112,11.893488566250667,0.09783788792440465
HADS-D>7,Additional Item Low,2.8333333333333335,0.3584069862786678,22.398496918628815,0.32350332472162857
HADS-D>7,New MACE,0.6153846153846154,0.06268048019359738,6.041725010440392,0.6769714293966207
HADS-D>7,HADS Anxiety Score?,11.0,2.496844931776744,48.46115930551481,0.0015272746240549665
HADS-D>7,HADS Depression Score?,30.0,5.293488199073655,170.0202146776292,0.00012159143654253316
HADS-D>7,SF-12 Low,0.8,0.20721873992791423,3.08852375138773,0.7461116451166359
HADS-D>7,CAQ High,7.333333333333333,1.7157609602817794,31.3433974910735,0.007178577431195244
HADS-D>7,Quit smoking 6mo,0.5833333333333334,0.10756530568489384,3.16345289599791,0.5320602504181122
HADS-D>7,Less drinking 6mo,0.6153846153846154,0.06268048019359738,6.041725010440392,0.6769714293966207
HADS-D>7,New Depression 6mo,0.6153846153846154,0.06268048019359738,6.041725010440392,0.6769714293966207
HADS-D>7,New Anxiety 6 Mo,0.47692307692307695,0.05063960200655395,4.491654995083433,0.5175718747576792
HADS-D>7,New SUD 6mo,0.8160919540229885,0.03137743372447378,21.22563888650932,0.9027050881860691
HADS-D>7,F/U Less Social Support 6mo,4.0,1.090298013465539,14.674886867989063,0.036585713765438274
HADS-D>7,Hospitalized 6mo,0.2545454545454545,0.06670194051103676,0.9713868582133844,0.04523244260321213
HADS-D>7,High cholesterol f/u 6mo,0.05555555555555555,0.010392250500430062,0.2969924322896848,0.0007261865770265369
HADS-D>7,Diabetes f/u 6mo,0.2,0.023046766760534354,1.73560137157706,0.1443228707988657
HADS-D>7,Hypertension f/u 6mo,1.8333333333333333,0.42894024007044484,7.835849372768373,0.41342752695111196
HADS-D>7,Cardiac Rehab 6mo,1.9444444444444444,0.5059391711480887,7.472961994524442,0.3329996701770358
HADS-D>7,No Intervention 6mo,1.4,0.3449942294004291,5.681254447085434,0.6377651550457158
HADS-D>7,Low Emotional/Informational Support 6mo,3.466666666666667,0.958624322371875,12.53648326806773,0.05801695670191234
HADS-D>7,Low Tangible Support 6mo,11.16,2.6314888927626,47.32894763209471,0.0010657065378577625
HADS-D>7,Low Affectionate Support 6mo,2.0,0.46746643813742333,8.556764023397333,0.34997413207049577
HADS-D>7,Low Positive Social Interaction 6mo,3.5,0.9447668354788242,12.966162168247038,0.06079768649347906
HADS-D>7,Additional Item Low 6mo,1.690909090909091,0.3454808168730759,8.27592564935211,0.5168044517740704
HADS-D>7,New MACE 6mo,1.3333333333333333,0.21550219039530538,8.24946500319426,0.75702319847178
HADS-D>7,HADS Anxiety Score?.1,30.0,5.293488199073655,170.0202146776292,0.00012159143654253316
HADS-D>7,HADS Depression Score?.1,166.0909090909091,8.59653136347058,3208.990802949572,0.0007144258039925858
HADS-D>7,SF-12 Low 6mo,1.1176470588235294,0.3249794429049436,3.8437352742408915,0.8599099925600983
HADS-D>7,CAQ High 6mo,3.9285714285714284,1.0294559696218684,14.992067582119837,0.04523244260321213
HADS-D>7,SSS Score?,1.5714285714285714,0.453098415851082,5.4500030649271665,0.47625291489077115
HADS Anxiety Score?,Age,9.0,0.09737346554575604,831.8487952134964,0.3413880904342418
HADS Anxiety Score?,Non-White,1.6666666666666667,0.41299797005010525,6.7258872421110825,0.4729743243465594
HADS Anxiety Score?,Indigenous,1.5555555555555556,0.2007572247295953,12.05313078858794,0.6723297517065818
HADS Anxiety Score?,Non-Woman Gender,8.243243243243244,0.37475926778738294,181.31922278657817,0.1810194167116529
HADS Anxiety Score?,Less than highschool,1.588235294117647,0.2868191324024417,8.79471089795227,0.5962606905825873
HADS Anxiety Score?,Unemployed,2.25,0.44542124996416355,11.365645443290603,0.3264308434205442
HADS Anxiety Score?,<$20k Income,1.5555555555555556,0.2007572247295953,12.05313078858794,0.6723297517065818
HADS Anxiety Score?,Marital status,0.6666666666666666,0.2120083965621556,2.0963530296506176,0.4878899156525962
HADS Anxiety Score?,Unstable Housing,5.117647058823529,0.49244681044081884,53.18404112566104,0.17164568172063444
HADS Anxiety Score?,Smoker,1.1515151515151516,0.36002810337052615,3.6830101088089537,0.8120125633832562
HADS Anxiety Score?,Alcohol use - average number of drinks/week,16.636363636363637,0.8428471656031696,328.37340663447253,0.06465346773391477
HADS Anxiety Score?,SUD Hx,4.6923076923076925,0.18180829477072313,121.10421863345861,0.35128335126520027
HADS Anxiety Score?,Depression Hx,1.7272727272727273,0.5475737038181034,5.448528761657324,0.35109262967201027
HADS Anxiety Score?,Anxiety Hx,1.9090909090909092,0.5882532148210277,6.195679016021033,0.2816632333652348
HADS Anxiety Score?,Health Anxiety,6.0,1.3508539547930287,26.649809087256767,0.018506313026032107
HADS Anxiety Score?,COVID Health Anxiety,1.4132231404958677,0.44650631513359756,4.4729482588290566,0.5562804482465431
HADS Anxiety Score?,COVID Wait,1.1470588235294117,0.2276852605479158,5.778784017333361,0.8679167772547701
HADS Anxiety Score?,COVID Lonely,4.0,1.1432046855953024,13.995743895738407,0.03004914477142481
HADS Anxiety Score?,Stressors,1.7142857142857142,0.5446209009400371,5.396002072508857,0.35688762826459053
HADS Anxiety Score?,Menopause,0.3,0.08075433073988142,1.11449131180221,0.07215963956038844
HADS Anxiety Score?,Complicated Pregnancy,1.4807692307692308,0.43525367553357686,5.037700168998916,0.5297336221122908
HADS Anxiety Score?,Hx Stroke,0.2780487804878049,0.012664201469727255,6.104697916845484,0.4167104609380021
HADS Anxiety Score?,Hx ACS,2.688311688311688,0.7925314931315749,9.118905426655921,0.11254034411522819
HADS Anxiety Score?,Hx CABG/stent,1.0,0.2430451234879099,4.11446230909358,1.0
HADS Anxiety Score?,High cholesterol,0.14473684210526316,0.038525249520169814,0.5437668470294064,0.004207664046421238
HADS Anxiety Score?,Diabetes,1.4807692307692308,0.43525367553357686,5.037700168998916,0.5297336221122908
HADS Anxiety Score?,Hypertension,0.5454545454545454,0.16325654574736628,1.822411835280574,0.3246957376153571
HADS Anxiety Score?,Obese,1.7272727272727273,0.5475737038181034,5.448528761657324,0.35109262967201027
HADS Anxiety Score?,eGFR <60,0.25925925925925924,0.04946801122356914,1.3587642164929992,0.11020891472658965
HADS Anxiety Score?,LVEF <55,2.1666666666666665,0.5030096796542946,9.332711942384117,0.2993900468952557
HADS Anxiety Score?,STEMI,1.06993006993007,0.3424896630561029,3.3424376792155748,0.9074115187479417
HADS Anxiety Score?,ESSI Low,0.6875,0.1760840044433757,2.6842656804297893,0.5897719122727589
HADS Anxiety Score?,HADS-A>7,3.207792207792208,0.9842958629728004,10.454103522587653,0.053145153772371376
HADS Anxiety Score?,HADS-D>7,11.0,2.4968449317767436,48.46115930551481,0.0015272746240549706
HADS Anxiety Score?,Quit Smoking,3.0,0.6276617508029235,14.33893333230348,0.16868071842309973
HADS Anxiety Score?,Less Drinking,0.7368421052631579,0.0623144649229104,8.712845223983106,0.8085403717892261
HADS Anxiety Score?,New Depression,2.4705882352941178,0.37398683991255227,16.320911799465804,0.3477550017978538
HADS Anxiety Score?,New Anxiety,5.117647058823529,0.49244681044081884,53.18404112566104,0.17164568172063444
HADS Anxiety Score?,New SUD,0.4796747967479675,0.01860076864137064,12.36980659624233,0.6577212611938286
HADS Anxiety Score?,F/U Less Social Support,2.4444444444444446,0.7640856293738578,7.820208118390959,0.13194233190467697
HADS Anxiety Score?,Hospitalized,1.7272727272727273,0.5475737038181034,5.448528761657324,0.35109262967201027
HADS Anxiety Score?,Cardiac Rehab,0.36507936507936506,0.06748505453207394,1.974999408845499,0.24205548304215418
HADS Anxiety Score?,No Intervention,1.588235294117647,0.2868191324024417,8.79471089795227,0.5962606905825873
HADS Anxiety Score?,Low Emotional/Informational Support,1.4081632653061225,0.39273457002850864,5.049017665069974,0.5993085465575971
HADS Anxiety Score?,Low Tangible Support,3.272727272727273,0.9324594113078665,11.486552306475213,0.06419325357921517
HADS Anxiety Score?,Low Affectionate Support,1.3333333333333333,0.34536456654652364,5.147539585646216,0.6763763314332347
HADS Anxiety Score?,Low Positive Social Interaction,3.3333333333333335,0.8972703415542382,12.383236797802336,0.07215963956038844
HADS Anxiety Score?,Additional Item Low,5.117647058823529,0.49244681044081884,53.18404112566104,0.17164568172063444
HADS Anxiety Score?,New MACE,0.34210526315789475,0.03535108938567608,3.310676222831037,0.35432160785546063
HADS Anxiety Score?,HADS Anxiety Score?,2501.0,47.68799180526862,131165.11648345285,0.00010753290443771596
HADS Anxiety Score?,HADS Depression Score?,9.285714285714286,2.4582704888640112,35.0752653894338,0.0010144240577881442
HADS Anxiety Score?,SF-12 Low,0.8571428571428571,0.25279470304896584,2.9062866772517446,0.8045649078181176
HADS Anxiety Score?,CAQ High,5.444444444444445,1.5839342371995895,18.714145204064323,0.007143332713329616
HADS Anxiety Score?,Quit smoking 6mo,2.7857142857142856,0.6718268531504856,11.550898933619145,0.15799161343877055
HADS Anxiety Score?,Less drinking 6mo,1.0,0.1516756561172855,6.593015818087082,1.0
HADS Anxiety Score?,New Depression 6mo,2.4705882352941178,0.37398683991255227,16.320911799465804,0.3477550017978538
HADS Anxiety Score?,New Anxiety 6 Mo,1.588235294117647,0.2868191324024417,8.79471089795227,0.5962606905825873
HADS Anxiety Score?,New SUD 6mo,0.4796747967479675,0.01860076864137064,12.36980659624233,0.6577212611938286
HADS Anxiety Score?,F/U Less Social Support 6mo,1.5555555555555556,0.47442665708458376,5.1003733670647105,0.4658375856093834
HADS Anxiety Score?,Hospitalized 6mo,1.7142857142857142,0.5446209009400371,5.396002072508857,0.35688762826459053
HADS Anxiety Score?,High cholesterol f/u 6mo,0.2857142857142857,0.08713959007676027,0.9368032715016814,0.03866341136667493
HADS Anxiety Score?,Diabetes f/u 6mo,0.8214285714285714,0.20576416495418623,3.279214814248228,0.7806171192091411
HADS Anxiety Score?,Hypertension f/u 6mo,2.3157894736842106,0.6164039923227168,8.700269552470502,0.2136807158267251
HADS Anxiety Score?,Cardiac Rehab 6mo,0.5833333333333334,0.15191074466235932,2.239984923608188,0.4323478511562645
HADS Anxiety Score?,No Intervention 6mo,0.6875,0.1760840044433757,2.6842656804297893,0.5897719122727589
HADS Anxiety Score?,Low Emotional/Informational Support 6mo,0.6428571428571429,0.19296358209053108,2.1416751370658167,0.47176598586051544
HADS Anxiety Score?,Low Tangible Support 6mo,1.7692307692307692,0.5073732795920249,6.169377932771414,0.37063074739826674
HADS Anxiety Score?,Low Affectionate Support 6mo,0.5798319327731093,0.13058027612095122,2.574700255281941,0.473636773410823
HADS Anxiety Score?,Low Positive Social Interaction 6mo,2.1904761904761907,0.6394126259668468,7.504052541639781,0.21197738224912155
HADS Anxiety Score?,Additional Item Low 6mo,1.625,0.3556110566315626,7.4255987004809825,0.531127194330064
HADS Anxiety Score?,New MACE 6mo,0.2631578947368421,0.028342222700442208,2.4434243670397224,0.24031259183552256
HADS Anxiety Score?,HADS Anxiety Score?.1,6.0,1.6931401968974467,21.262267629087845,0.005506914736519665
HADS Anxiety Score?,HADS Depression Score?.1,7.428571428571429,2.0603955647657357,26.783048077305516,0.0021778992376227002
HADS Anxiety Score?,SF-12 Low 6mo,0.5833333333333334,0.18532238990320712,1.8361395941175975,0.35688762826459053
HADS Anxiety Score?,CAQ High 6mo,4.666666666666667,1.3763267165999253,15.823116353926164,0.01340846471261821
HADS Anxiety Score?,SSS Score?,0.6153846153846154,0.19182210269014668,1.974215794432138,0.41430331510715157
HADS Depression Score?,Age,9.0,0.09737346554575604,831.8487952134964,0.3413880904342418
HADS Depression Score?,Non-White,2.076923076923077,0.5095352118115242,8.465773056428564,0.3079672114839622
HADS Depression Score?,Indigenous,1.875,0.24095148240583628,14.590592947996921,0.5481775801838711
HADS Depression Score?,Non-Woman Gender,9.848484848484848,0.4464784170640447,217.23928885216992,0.14730169898096068
HADS Depression Score?,Less than highschool,0.875,0.14389621523693094,5.320675034707255,0.8847207343064347
HADS Depression Score?,Unemployed,1.4,0.27621880407504934,7.0958239304644275,0.6845010058155929
HADS Depression Score?,<$20k Income,6.2,0.5938552915072214,64.72957393784978,0.1273684937624919
HADS Depression Score?,Marital status,1.2857142857142858,0.4037651916892362,4.094115239537783,0.6706315737634578
HADS Depression Score?,Unstable Housing,6.2,0.5938552915072214,64.72957393784978,0.1273684937624919
HADS Depression Score?,Smoker,1.0606060606060606,0.32345384619087864,3.4777302203742617,0.9226354055832316
HADS Depression Score?,Alcohol use - average number of drinks/week,6.2,0.5938552915072214,64.72957393784978,0.1273684937624919
HADS Depression Score?,SUD Hx,5.571428571428571,0.2153812547966845,144.12032447221324,0.3007055216108653
HADS Depression Score?,Depression Hx,5.111111111111111,1.4691925327024917,17.780826003839618,0.010322792103434907
HADS Depression Score?,Anxiety Hx,2.5555555555555554,0.7673010917639704,8.511475179211427,0.12638836358332986
HADS Depression Score?,Health Anxiety,2.7,0.6875685199752546,10.602579653097507,0.15466639083409495
HADS Depression Score?,COVID Health Anxiety,1.3333333333333333,0.4124696930537821,4.31008097738219,0.6308122788395203
HADS Depression Score?,COVID Wait,1.4,0.27621880407504934,7.0958239304644275,0.6845010058155929
HADS Depression Score?,COVID Lonely,3.5714285714285716,1.0258351935724213,12.433870587338019,0.04549199092933282
HADS Depression Score?,Stressors,1.25,0.39203345981112453,3.9856291877555234,0.7060387694972698
HADS Depression Score?,Menopause,1.3695652173913044,0.3542366377575403,5.295073080419008,0.6485145899771603
HADS Depression Score?,Complicated Pregnancy,1.9090909090909092,0.552304208230163,6.598950442280025,0.3068497621157309
