outcome,variable,fisher odds,p-value
New MACE 6mo,Non-White,0.7777777777777778,1.0
New MACE 6mo,Indigenous,2.7333333333333334,0.41054711246200576
New MACE 6mo,Non-Woman Gender,0.0,1.0
New MACE 6mo,Less than highschool,0.0,1.0
New MACE 6mo,Unemployed,1.2666666666666666,1.0
New MACE 6mo,<$20k Income,2.7333333333333334,0.41054711246200576
New MACE 6mo,Marital status,2.6315789473684212,0.39459400781589027
New MACE 6mo,Unstable Housing,0.0,1.0
New MACE 6mo,Smoker,0.28888888888888886,0.387303894730879
New MACE 6mo,Alcohol use - average number of drinks/week,0.0,1.0
New MACE 6mo,SUD Hx,0.0,1.0
New MACE 6mo,Depression Hx,3.176470588235294,0.22335800185013863
New MACE 6mo,Anxiety Hx,4.285714285714286,0.17096112820706447
New MACE 6mo,Health Anxiety,0.0,0.3167618795899473
New MACE 6mo,COVID Health Anxiety,0.7222222222222222,1.0
New MACE 6mo,COVID Wait,1.2666666666666666,1.0
New MACE 6mo,COVID Lonely,1.0714285714285714,1.0
New MACE 6mo,Stressors,0.4166666666666667,0.40917643653205993
New MACE 6mo,Menopause,1.875,1.0
New MACE 6mo,Complicated Pregnancy,0.0,0.16018457336681186
New MACE 6mo,Hx Stroke,0.0,1.0
New MACE 6mo,Hx ACS,0.38666666666666666,0.6497876116218912
New MACE 6mo,Hx CABG/stent,2.25,0.5859162906605746
New MACE 6mo,High cholesterol,2.6315789473684212,0.39459400781589027
New MACE 6mo,Diabetes,0.42857142857142855,0.6540240518038843
New MACE 6mo,Hypertension,0.41935483870967744,0.3696177009194054
New MACE 6mo,Obese,0.24,0.38029602220166503
New MACE 6mo,eGFR <60,0.68,1.0
New MACE 6mo,LVEF <55,0.9,1.0
New MACE 6mo,STEMI,0.21904761904761905,0.21086956521739092
New MACE 6mo,ESSI Low,1.7,0.6209541429892942
New MACE 6mo,HADS-A>7,6.578947368421052,0.09250253292806498
New MACE 6mo,HADS-D>7,1.3333333333333333,1.0
New MACE 6mo,Quit Smoking,0.0,0.5717404519624667
New MACE 6mo,Less Drinking,4.2,0.3242857142857135
New MACE 6mo,New Depression,6.833333333333333,0.1030064754856611
New MACE 6mo,New Anxiety,2.7333333333333334,0.41054711246200576
New MACE 6mo,New SUD,inf,0.11999999999999963
New MACE 6mo,F/U Less Social Support,0.24,0.38029602220166503
New MACE 6mo,Hospitalized,8.75,0.07044403330249761
New MACE 6mo,Cardiac Rehab,0.9,1.0
New MACE 6mo,No Intervention,0.0,1.0
New MACE 6mo,Low Emotional/Informational Support,3.4,0.17291529007532688
New MACE 6mo,Low Tangible Support,2.6666666666666665,0.3475882119730403
New MACE 6mo,Low Affectionate Support,4.5,0.11144537370915023
New MACE 6mo,Low Positive Social Interaction,1.5,0.6433976476807177
New MACE 6mo,Additional Item Low,10.5,0.0655015197568388
New MACE 6mo,New MACE,inf,2.8318450414393246e-06
New MACE 6mo,HADS Anxiety Score?,0.2631578947368421,0.3810625082595467
New MACE 6mo,HADS Depression Score?,0.875,1.0
New MACE 6mo,SF-12 Low,inf,0.5755641979270892
New MACE 6mo,CAQ High,0.5476190476190477,0.6740121580547084
New MACE 6mo,Quit smoking 6mo,0.0,0.327113972323434
New MACE 6mo,Less drinking 6mo,2.0,0.4874322717060903
New MACE 6mo,New Depression 6mo,6.833333333333333,0.1030064754856611
New MACE 6mo,New Anxiety 6 Mo,5.0,0.14572045284348673
New MACE 6mo,New SUD 6mo,inf,0.11999999999999963
New MACE 6mo,F/U Less Social Support 6mo,2.142857142857143,0.3958836300477625
New MACE 6mo,Hospitalized 6mo,5.476190476190476,0.19185120856853405
New MACE 6mo,High cholesterol f/u 6mo,1.52,1.0
New MACE 6mo,Diabetes f/u 6mo,0.68,1.0
New MACE 6mo,Hypertension f/u 6mo,0.8387096774193549,1.0
New MACE 6mo,Cardiac Rehab 6mo,0.5333333333333333,1.0
New MACE 6mo,No Intervention 6mo,0.6,1.0
New MACE 6mo,Low Emotional/Informational Support 6mo,4.285714285714286,0.17096112820706447
New MACE 6mo,Low Tangible Support 6mo,6.8,0.04440993788819863
New MACE 6mo,Low Affectionate Support 6mo,2.25,0.5859162906605746
New MACE 6mo,Low Positive Social Interaction 6mo,1.1923076923076923,1.0
New MACE 6mo,Additional Item Low 6mo,3.1666666666666665,0.24162371701687058
New MACE 6mo,New MACE 6mo,inf,6.292988980976289e-08
New MACE 6mo,HADS Anxiety Score?.1,4.285714285714286,0.17096112820706447
New MACE 6mo,HADS Depression Score?.1,1.75,0.661404783930221
New MACE 6mo,SF-12 Low 6mo,inf,0.5759666975023114
New MACE 6mo,CAQ High 6mo,1.0952380952380953,1.0
New MACE 6mo,SSS Score?,3.8,0.38106250825954646
HADS Anxiety Score?.1,Non-White,2.076923076923077,0.46268141062227464
HADS Anxiety Score?.1,Indigenous,1.875,0.6123317412071232
HADS Anxiety Score?.1,Non-Woman Gender,1.8235294117647058,1.0
HADS Anxiety Score?.1,Less than highschool,1.9333333333333333,0.6537672978534623
HADS Anxiety Score?.1,Unemployed,2.761904761904762,0.2344615976068345
HADS Anxiety Score?.1,<$20k Income,1.875,0.6123317412071232
HADS Anxiety Score?.1,Marital status,1.2857142857142858,0.7708797725852102
HADS Anxiety Score?.1,Unstable Housing,1.875,0.6123317412071232
HADS Anxiety Score?.1,Smoker,1.0606060606060606,1.0
HADS Anxiety Score?.1,Alcohol use - average number of drinks/week,1.875,0.6123317412071232
HADS Anxiety Score?.1,SUD Hx,inf,0.3600000000000006
HADS Anxiety Score?.1,Depression Hx,1.6666666666666667,0.5513963132505045
HADS Anxiety Score?.1,Anxiety Hx,1.76,0.3755242861016434
HADS Anxiety Score?.1,Health Anxiety,2.7,0.17175167439999334
HADS Anxiety Score?.1,COVID Health Anxiety,2.75,0.13414479985691327
HADS Anxiety Score?.1,COVID Wait,1.4,0.691538138087632
HADS Anxiety Score?.1,COVID Lonely,2.4,0.21062489516896588
HADS Anxiety Score?.1,Stressors,1.7809523809523808,0.3875984045024461
HADS Anxiety Score?.1,Menopause,0.8666666666666667,1.0
HADS Anxiety Score?.1,Complicated Pregnancy,2.857142857142857,0.11710994784931562
HADS Anxiety Score?.1,Hx Stroke,0.0,0.5297959183673479
HADS Anxiety Score?.1,Hx ACS,3.5714285714285716,0.05957625583891396
HADS Anxiety Score?.1,Hx CABG/stent,1.2380952380952381,1.0
HADS Anxiety Score?.1,High cholesterol,0.9066666666666666,1.0
HADS Anxiety Score?.1,Diabetes,2.857142857142857,0.11710994784931562
HADS Anxiety Score?.1,Hypertension,0.9090909090909091,1.0
HADS Anxiety Score?.1,Obese,1.1692307692307693,1.0
HADS Anxiety Score?.1,eGFR <60,0.3194444444444444,0.2866388727866779
HADS Anxiety Score?.1,LVEF <55,4.833333333333333,0.05482476746441163
HADS Anxiety Score?.1,STEMI,1.4615384615384615,0.564701755030137
HADS Anxiety Score?.1,ESSI Low,3.4363636363636365,0.08891505853759465
HADS Anxiety Score?.1,HADS-A>7,4.963636363636364,0.017557113720568243
HADS Anxiety Score?.1,HADS-D>7,30.0,1.0113583121363785e-05
HADS Anxiety Score?.1,Quit Smoking,1.08,1.0
HADS Anxiety Score?.1,Less Drinking,3.875,0.2914285714285712
HADS Anxiety Score?.1,New Depression,1.2083333333333333,1.0
HADS Anxiety Score?.1,New Anxiety,0.5686274509803921,1.0
HADS Anxiety Score?.1,New SUD,0.0,1.0
HADS Anxiety Score?.1,F/U Less Social Support,1.6666666666666667,0.5513963132505045
HADS Anxiety Score?.1,Hospitalized,0.5666666666666667,0.38834174155978274
HADS Anxiety Score?.1,Cardiac Rehab,1.542857142857143,0.7048604111934818
HADS Anxiety Score?.1,No Intervention,0.3176470588235294,0.39906737903301975
HADS Anxiety Score?.1,Low Emotional/Informational Support,2.757575757575758,0.17974571481675133
HADS Anxiety Score?.1,Low Tangible Support,4.333333333333333,0.02806220746794329
HADS Anxiety Score?.1,Low Affectionate Support,1.6666666666666667,0.4944963270985874
HADS Anxiety Score?.1,Low Positive Social Interaction,1.7857142857142858,0.5041710385416773
HADS Anxiety Score?.1,Additional Item Low,6.2,0.12666956144159827
HADS Anxiety Score?.1,New MACE,3.0,0.3363287960882783
HADS Anxiety Score?.1,HADS Anxiety Score?,6.0,0.006485391698418883
HADS Anxiety Score?.1,HADS Depression Score?,14.04,0.00012800747199495852
HADS Anxiety Score?.1,SF-12 Low,0.6481481481481481,0.7048604111934813
HADS Anxiety Score?.1,CAQ High,3.8181818181818183,0.039901012995713775
HADS Anxiety Score?.1,Quit smoking 6mo,1.2380952380952381,1.0
HADS Anxiety Score?.1,Less drinking 6mo,1.2083333333333333,1.0
HADS Anxiety Score?.1,New Depression 6mo,1.2083333333333333,1.0
HADS Anxiety Score?.1,New Anxiety 6 Mo,0.875,1.0
HADS Anxiety Score?.1,New SUD 6mo,0.0,1.0
HADS Anxiety Score?.1,F/U Less Social Support 6mo,4.464285714285714,0.028243510532350892
HADS Anxiety Score?.1,Hospitalized 6mo,0.8823529411764706,1.0
HADS Anxiety Score?.1,High cholesterol f/u 6mo,0.1956521739130435,0.01580220431067033
HADS Anxiety Score?.1,Diabetes f/u 6mo,0.6,0.7242707238719568
HADS Anxiety Score?.1,Hypertension f/u 6mo,1.8333333333333333,0.5230919269119843
HADS Anxiety Score?.1,Cardiac Rehab 6mo,1.1538461538461537,1.0
HADS Anxiety Score?.1,No Intervention 6mo,0.8571428571428571,1.0
HADS Anxiety Score?.1,Low Emotional/Informational Support 6mo,2.5555555555555554,0.1392536067579781
HADS Anxiety Score?.1,Low Tangible Support 6mo,8.75,0.0023589225851170605
HADS Anxiety Score?.1,Low Affectionate Support 6mo,2.076923076923077,0.46268141062227464
HADS Anxiety Score?.1,Low Positive Social Interaction 6mo,1.9090909090909092,0.34768330727939695
HADS Anxiety Score?.1,Additional Item Low 6mo,3.717948717948718,0.11787663748595706
HADS Anxiety Score?.1,New MACE 6mo,4.285714285714286,0.1709611282070646
HADS Anxiety Score?.1,HADS Anxiety Score?.1,inf,5.5390832808244965e-14
HADS Anxiety Score?.1,HADS Depression Score?.1,18.9,3.268095804417765e-05
HADS Anxiety Score?.1,SF-12 Low 6mo,0.3620689655172414,0.2344615976068338
HADS Anxiety Score?.1,CAQ High 6mo,3.3333333333333335,0.07652868349698012
HADS Anxiety Score?.1,SSS Score?,0.75,0.7654359807845759
HADS Depression Score?.1,Non-White,3.1153846153846154,0.1504727316004914
HADS Depression Score?.1,Indigenous,1.7058823529411764,0.6291576204950075
HADS Depression Score?.1,Non-Woman Gender,inf,0.13959183673469341
HADS Depression Score?.1,Less than highschool,0.7941176470588235,1.0
HADS Depression Score?.1,Unemployed,1.265625,1.0
HADS Depression Score?.1,<$20k Income,5.625,0.14726443768996977
HADS Depression Score?.1,Marital status,1.0928571428571427,1.0
HADS Depression Score?.1,Unstable Housing,inf,0.016830221450282283
HADS Depression Score?.1,Smoker,0.4336734693877551,0.23686937244905215
HADS Depression Score?.1,Alcohol use - average number of drinks/week,inf,0.016830221450282283
HADS Depression Score?.1,SUD Hx,inf,0.3799999999999996
HADS Depression Score?.1,Depression Hx,2.8875,0.08717366378720955
HADS Depression Score?.1,Anxiety Hx,1.5272727272727273,0.551591783266516
HADS Depression Score?.1,Health Anxiety,3.9375,0.07759485725161196
HADS Depression Score?.1,COVID Health Anxiety,1.1515151515151516,1.0
HADS Depression Score?.1,COVID Wait,1.265625,1.0
HADS Depression Score?.1,COVID Lonely,3.085714285714286,0.11712810609151345
HADS Depression Score?.1,Stressors,2.0816326530612246,0.2549092492319278
HADS Depression Score?.1,Menopause,0.9739130434782609,1.0
HADS Depression Score?.1,Complicated Pregnancy,1.6770833333333333,0.5278584654889562
HADS Depression Score?.1,Hx Stroke,0.0,0.5191836734693884
HADS Depression Score?.1,Hx ACS,4.62962962962963,0.02720080839382786
HADS Depression Score?.1,Hx CABG/stent,1.8571428571428572,0.4741299601118563
HADS Depression Score?.1,High cholesterol,1.0928571428571427,1.0
HADS Depression Score?.1,Diabetes,3.75,0.05639616272512881
