outcome,variable,p-value
New MACE 6mo,Age,0.6508317917600531
New MACE 6mo,New MACE 6mo,0.8669491061294632
New MACE 6mo,HADS Anxiety Score?.1,0.8718992600988186
New MACE 6mo,HADS Depression Score?.1,0.8743826104467918
New MACE 6mo,SF-12 Low 6mo,0.8717405444488354
New MACE 6mo,CAQ High 6mo,0.8733935715182968
New MACE 6mo,SSS Score?,0.8777716176360377
New MACE 6mo,Dead.1,0.8790016221445678
HADS Anxiety Score?.1,Age,0.33912945708475317
HADS Anxiety Score?.1,New MACE 6mo,0.8059832233976519
HADS Anxiety Score?.1,HADS Anxiety Score?.1,0.8756095787356641
HADS Anxiety Score?.1,HADS Depression Score?.1,0.9096549682587876
HADS Anxiety Score?.1,SF-12 Low 6mo,0.9173310563295592
HADS Anxiety Score?.1,CAQ High 6mo,0.9312553645497708
HADS Anxiety Score?.1,SSS Score?,0.9410504638476844
HADS Anxiety Score?.1,Dead.1,0.9416471288106257
HADS Depression Score?.1,Age,0.22859321782101344
HADS Depression Score?.1,New MACE 6mo,0.7505657118064011
HADS Depression Score?.1,HADS Anxiety Score?.1,0.8080768355002534
HADS Depression Score?.1,HADS Depression Score?.1,0.8623026268934352
HADS Depression Score?.1,SF-12 Low 6mo,0.8694289922995
HADS Depression Score?.1,CAQ High 6mo,0.8822326209689549
HADS Depression Score?.1,SSS Score?,0.8945692729928245
HADS Depression Score?.1,Dead.1,0.8956323008635816
SF-12 Low 6mo,Age,0.124305052806655
SF-12 Low 6mo,New MACE 6mo,0.6869995528865073
SF-12 Low 6mo,HADS Anxiety Score?.1,0.7283262199132418
SF-12 Low 6mo,HADS Depression Score?.1,0.7450085370610707
SF-12 Low 6mo,SF-12 Low 6mo,0.7955743779110037
SF-12 Low 6mo,CAQ High 6mo,0.7974013752538691
SF-12 Low 6mo,SSS Score?,0.8099047458386547
SF-12 Low 6mo,Dead.1,0.8117969358694046
CAQ High 6mo,Age,0.34848965753760575
CAQ High 6mo,New MACE 6mo,0.8019391048570307
CAQ High 6mo,HADS Anxiety Score?.1,0.8384846389041141
CAQ High 6mo,HADS Depression Score?.1,0.8573340374414915
CAQ High 6mo,SF-12 Low 6mo,0.8594865554466041
CAQ High 6mo,CAQ High 6mo,0.9060933030304875
CAQ High 6mo,SSS Score?,0.9034987356937301
CAQ High 6mo,Dead.1,0.904472618157016
SSS Score?,Age,0.836155174843407
SSS Score?,New MACE 6mo,0.9579258862593245
SSS Score?,HADS Anxiety Score?.1,0.9532793753454719
SSS Score?,HADS Depression Score?.1,0.9442747721767577
SSS Score?,SF-12 Low 6mo,0.9351373783712672
SSS Score?,CAQ High 6mo,0.9402013610060417
SSS Score?,SSS Score?,0.8977205944382808
SSS Score?,Dead.1,0.8987521901487618
Dead.1,Age,
Dead.1,New MACE 6mo,
Dead.1,HADS Anxiety Score?.1,
Dead.1,HADS Depression Score?.1,
Dead.1,SF-12 Low 6mo,
Dead.1,CAQ High 6mo,
Dead.1,SSS Score?,
Dead.1,Dead.1,
